Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Vandalism,2014,3/24/2014,11:07 AM,3/24/2014,11:08 AM,PacifiCorp,"Salt Lake City, Utah",WECC,N/A,N/A,"vandalism, physical"
Ice and Snow,2014,3/20/2014,12:00 AM,3/20/2014,12:01 AM,NRG Energy Inc 2,New York,NPCC,N/A,Unknown,"vandalism, cyber"
Vandalism,2014,3/17/2014,5:25 PM,3/18/2014,12:56 AM,Arizona Public Service Co,"Glendale, Arizona",WECC,N/A,N/A,vandalism
Vandalism,2014,3/14/2014,12:34 PM,3/14/2014,4:45 PM,ITC Holdings,"Boone County, Iowa",MRO,N/A,Unknown,"vandalism, physical"
High Winds and Rain,2014,3/12/2014,7:35 PM,3/13/2014,12:00 PM,Duke Energy Carolinas,North Carolina,SERC,250,"61,377","severe weather, wind"
Physical Attack,2014,3/11/2014,12:00 AM,3/13/2014,12:00 AM,ITC Midwest LLC,"Boone County, Iowa",MRO,N/A,Unknown,"vandalism, physical"
Severe Weather,2014,3/7/2014,3:30 AM,3/7/2014,9:00 PM,Duke Energy Carolinas,"Triad, North Carolina",SERC,1500,"370,900","severe weather, winter storm"
Physical Attack,2014,3/5/2014,5:06 PM,3/5/2014,5:07 PM,PacifiCorp,"Salt Lake City, Utah",WECC,N/A,Unknown,"vandalism, physical"
Fuel Supply Emergency,2014,3/4/2014,9:06 AM,3/17/2014,9:06 AM,Wisconsin Public Service Corp,"Weston, Wisconsin",MRO,N/A,Unknown,"fuel supply emergency, coal"
Physical Attack,2014,3/3/2014,5:25 PM,3/3/2014,5:25 PM,"Orange and Rockland Utilities, Inc.",New York,NPCC,N/A,Unknown,"vandalism, physical"
Severe Weather,2014,3/3/2014,6:40 AM,3/3/2014,3:28 PM,Tennessee Valley Authority,Tennessee,SERC,N/A,"65,904","severe weather, winter storm"
Fuel Supply Emergency,2014,3/3/2014,1:48 AM,3/3/2014,1:49 AM,Public Utility District #1 of Chelan County (CHPD),"Mid-Columbia River Generation, Washington",WECC,630,Unknown,"fuel supply emergency, hydro"
Public Appeal,2014,3/2/2014,7:00 PM,3/4/2014,9:00 AM,ERCOT,ERCOT Region Texas,TRE,N/A,N/A,"severe weather, cold"
Storm,2014,2/21/2014,2:53 AM,2/21/2014,9:00 PM,Southern Company,Northern/Northeastern Georgia,SERC,221,"66,445","severe weather, thunderstorm, wind"
Ice and Snow,2014,2/20/2014,4:40 PM,2/21/2014,11:59 PM,Ameren Missouri,"Missouri, Illinois",SERC,N/A,"66,000","severe weather, winter storm"
Vandalism,2014,2/18/2014,6:43 PM,2/18/2014,6:44 PM,PacifiCorp,"Bend, Oregon",WECC,N/A,N/A,"vandalism, physical"
Vandalism,2014,2/14/2014,1:00 PM,2/14/2014,3:00 PM,PacifiCorp,"Portland, Oregon",WECC,N/A,Unknown,"vandalism, physical"
Ice and Snow,2014,2/12/2014,12:10 PM,2/15/2014,3:20 PM,Duke Energy Progress,North Carolina,SERC,N/A,"200,000","severe weather, winter storm"
Vandalism,2014,2/12/2014,2:15 PM,2/12/2014,2:16 PM,ISO New England,Vermont,NPCC,N/A,Unknown,"vandalism, physical"
Ice and Snow,2014,2/12/2014,11:03 AM,2/15/2014,8:40 AM,South Carolina Electric and Gas,South Carolina,SERC,700,"120,124","severe weather, winter storm"
Ice and Snow,2014,2/12/2014,7:48 AM,2/15/2014,4:30 AM,Southern Company,Northern/Northeastern Georgia,SERC,"1,246","373,835","severe weather, winter storm"
Public Appeal,2014,2/7/2014,4:50 PM,2/7/2014,8:30 PM,American Electric Power,Texas,TRE,N/A,Unknown,public appeal
Public Appeal,2014,2/7/2014,4:30 PM,2/8/2014,9:00 AM,ERCOT,ERCOT Region Texas,TRE,N/A,Unknown,public appeal
Fuel Supply Emergency,2014,2/7/2014,7:00 AM,3/21/2014,8:00 AM,"Somerset Operating Company, LLC",Niagara County New York,NPCC,675,Unknown,"fuel supply emergency, coal"
Fuel Supply Emergency,2014,2/6/2014,1:00 PM,2/6/2014,10:00 PM,California ISO,California,WECC,"4,000",Unknown,"fuel supply emergency, natural gas"
Public Appeal,2014,2/6/2014,1:58 PM,2/6/2014,8:40 PM,American Electric Power,Rio Grande Valley Texas,TRE,N/A,Unknown,public appeal
Fuel Supply Emergency,2014,2/6/2014,2:15 PM,2/6/2014,7:39 PM,Southern California Edison,California,WECC,611,Unknown,"fuel supply emergency, natural gas"
Fuel Supply Emergency,2014,2/6/2014,1:05 PM,2/6/2014,7:15 PM,Pacific Gas & Electric Co,Northern California,WECC,160,Unknown,"fuel supply emergency, natural gas"
Public Appeal,2014,2/6/2014,3:35 PM,2/7/2014,11:30 AM,ERCOT,ERCOT Region Texas,TRE,N/A,Unknown,public appeal
Ice and Snow,2014,2/5/2014,1:00 AM,2/9/2014,8:40 PM,FirstEnergy Corp: Met-Ed,Pennsylvania,RFC,N/A,"144,000","severe weather, winter storm"
Ice and Snow,2014,2/5/2014,12:00 AM,2/9/2014,6:00 PM,FirstEnergy Corp: Potomac Edison,"Maryland, West Virginia",RFC,N/A,"101,580","severe weather, winter storm"
Ice and Snow,2014,2/5/2014,8:05 AM,2/5/2014,8:06 AM,Baltimore Gas & Electric Company,"Baltimore, Maryland",RFC,800,"181,000","severe weather, winter storm"
Fuel Supply Emergency,2014,2/5/2014,7:00 AM,2/23/2014,7:00 AM,Upstate New York Power Producers,New York,NPCC,300,Unknown,"fuel supply emergency, coal"
Ice and Snow,2014,2/5/2014,5:00 AM,2/5/2014,5:01 AM,Exelon Corporation/PECO,Pennsylvania,RFC,N/A,"715,000","severe weather, winter storm"
Ice and Snow,2014,2/5/2014,7:35 AM,2/7/2014,4:03 AM,PPL Electric Utilities Corp,"Lancaster Region, Pennsylvania",RFC,N/A,"62,159","severe weather, winter storm"
Vandalism,2014,1/30/2014,3:00 PM,Unknown,Unknown,Tucson Electric Power,Arizona,WECC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/29/2014,4:00 PM,1/29/2014,4:44 PM,Madison Gas and Electric,Unknown,MRO,N/A,Unknown,"vandalism, physical"
Public Appeal,2014,1/27/2014,2:20 PM,1/28/2014,9:00 PM,PJM Interconnection,Maryland,RFC,N/A,Unknown,"severe weather, cold"
Physical Attack,2014,1/26/2014,11:00 PM,Unknown,Unknown,Public Service Electric &Gas,New Jersey,RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/26/2014,9:00 PM,1/27/2014,11:00 AM,PacifiCorp,Oregon,WECC,N/A,N/A,"vandalism, physical"
Vandalism,2014,1/25/2014,10:00 AM,1/25/2014,11:00 AM,Madison Gas and Electric,"Madison, Wisconsin",MRO,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/24/2014,3:30 PM,1/24/2014,5:00 PM,Madison Gas and Electric,Wisconsin,MRO,N/A,Unknown,"vandalism, physical"
Fuel Supply Emergency,2014,1/24/2014,12:00 AM,4/9/2014,11:53 AM,We Energies,Wisconsin,RFC,N/A,Unknown,"fuel supply emergency, coal"
Vandalism,2014,1/23/2014,9:17 PM,1/24/2014,5:00 PM,Tacoma Power (TPWR),"Wynoochee, Washington",WECC,N/A,Unknown,"vandalism, physical"
Public Appeal,2014,1/23/2014,4:00 PM,1/24/2014,12:00 PM,Tennessee Valley Authority,Tennessee,SERC,N/A,Unknown,"severe weather, cold"
Public Appeal,2014,1/23/2014,4:00 AM,1/24/2014,12:00 PM,Memphis Light Gas and Water Division,Tennessee,SERC,N/A,Unknown,"severe weather, cold"
Public Appeal,2014,1/23/2014,1:04 PM,1/24/2014,9:00 AM,PJM Interconnection,Maryland,RFC,N/A,Unknown,"severe weather, cold"
Vandalism,2014,1/22/2014,9:45 AM,1/22/2014,8:19 PM,Duke Energy Midwest,Ohio,RFC,N/A,Unknown,"vandalism, physical"
Vandalism,2014,1/22/2014,1:55 PM,1/22/2014,2:55 PM,Madison Gas and Electric,Wisconsin,MRO,N/A,Unknown,"vandalism, physical"
Physical Attack,2014,1/22/2014,9:15 PM,1/23/2014,3:08 AM,Public Service Electric &Gas,"Burlington County, New Jersey",RFC,N/A,Unknown,"vandalism, physical"
